Extension,Altitude,Velocity,Drag,Center_of_Pressure
10,2000,171.0,129.7987,0.6773222
10,2000,205.0,184.02,0.6755818
10,2000,240.0,247.0849,0.6779815
10,2000,274.0,320.4011,0.675969
10,2000,308.0,401.9291,0.6736391
10,2000,343.0,492.1959,0.6739952
10,2000,377.0,592.0106,0.6744732
10,2000,411.0,699.9325,0.6753387
10,2000,445.0,817.2797,0.6755347
10,2000,480.0,945.4772,0.6716537
10,2000,514.0,1078.043,0.673247
10,3000,34.0,5.416025,0.689503
10,3000,68.0,20.30441,0.6842871
10,3000,102.0,44.16367,0.6807813
10,3000,137.0,76.60715,0.6818564
10,3000,171.0,117.449,0.6826054
10,3000,205.0,167.3559,0.6762525
10,3000,240.0,224.5581,0.678893
10,3000,274.0,291.1775,0.6766159
10,3000,308.0,364.7018,0.6759446
10,3000,343.0,448.4471,0.6710393
10,3000,377.0,537.8015,0.67462
10,3000,411.0,636.3521,0.6729647
10,3000,445.0,742.761,0.6755337
10,3000,480.0,858.6346,0.6723302
10,3000,514.0,979.1982,0.6739804
10,4000,34.0,4.918989,0.6921205
10,4000,68.0,18.42971,0.6862756
10,4000,102.0,40.06836,0.6824971
10,4000,137.0,69.50056,0.6816208
10,4000,171.0,106.8514,0.678417
10,4000,205.0,151.7814,0.6761243
10,4000,240.0,203.854,0.6788791
10,4000,274.0,263.9883,0.6772521
10,4000,308.0,330.3573,0.6779276
10,4000,343.0,405.6061,0.6744652
10,4000,377.0,487.6377,0.6754804
10,4000,411.0,575.7949,0.6756629
10,4000,445.0,674.0114,0.6745527
10,4000,480.0,776.7338,0.674512
10,4000,514.0,887.7623,0.6735818
10,5000,34.0,4.467698,0.6916888
10,5000,68.0,16.70954,0.6845219
10,5000,102.0,36.25833,0.6830481
10,5000,137.0,62.92488,0.6818121
10,5000,171.0,96.54272,0.6811895
10,5000,205.0,137.1066,0.6803612
10,5000,240.0,184.3189,0.6792004
10,5000,274.0,238.8951,0.6783324
10,5000,308.0,299.9115,0.6735805
10,5000,343.0,367.1771,0.6738486
10,5000,377.0,440.9734,0.6756587
10,5000,411.0,522.1797,0.672773
10,5000,445.0,608.3786,0.6753378
10,5000,480.0,702.2868,0.6755063
10,5000,514.0,802.3309,0.6730595
10,6000,34.0,4.039103,0.6935497
10,6000,68.0,15.10488,0.6848621
10,6000,102.0,32.76459,0.6832883
10,6000,137.0,56.82457,0.682754
10,6000,171.0,87.32093,0.6783225
10,6000,205.0,123.683,0.6803628
10,6000,240.0,166.5073,0.6785893
10,6000,274.0,215.2083,0.6793239
10,6000,308.0,270.2492,0.6758765
10,6000,343.0,331.3447,0.6738562
10,6000,377.0,398.8757,0.6725893
10,6000,411.0,471.7783,0.6718754
10,6000,445.0,549.1952,0.6745811
10,6000,480.0,633.9671,0.6755787
10,6000,514.0,723.0608,0.6745178
10,7000,34.0,3.657254,0.6909714
10,7000,68.0,13.62881,0.6847118
10,7000,102.0,29.49743,0.6828843
10,7000,137.0,51.17963,0.6817659
10,7000,171.0,78.54265,0.6799554
10,7000,205.0,111.2799,0.6821676
10,7000,240.0,149.8302,0.6790494
10,7000,274.0,194.2158,0.6760516
10,7000,308.0,243.4182,0.6755455
10,7000,343.0,298.0347,0.6753767
10,7000,377.0,357.6045,0.6758356
10,7000,411.0,423.0743,0.6772916
10,7000,445.0,494.047,0.6750033
